user_id,referral_id,country
4397040,4312719,NGA
4413903,4413366,ITA
4411317,4388371,LKA
4413859,4413366,ITA
4413834,4413771,TUR
4413830,4413366,ITA
4386711,2191897,PHL
4413777,4357940,NGA
4413758,1625655,GHA
4413762,4413366,ITA
4413657,4320527,UKR
4413622,2197914,TUR
4413571,4244716,IND
4413380,4404375,LKA
4411871,4388371,LKA
4391424,2198839,LKA
4411519,4408730,ARE
4413277,4388371,LKA
4411515,4408730,ARE
4413305,2459991,BGD
4413195,2436562,IND
4413143,3592843,VNM
4405841,4351543,BGD
4412954,4396810,TUR
4412861,4355919,BGD
4412564,1302933,SGP
4412615,4321191,TUR
4412480,2242405,USA
4412412,1146971,MAR
4412392,4330547,FIN
4412349,4388371,LKA
4408728,2459444,IND
4412330,4409125,KAZ
4412163,623527,NZL
4409529,2780079,BGD
4412296,2369924,TUR
4407672,4394466,TUR
4412205,4388371,LKA
4412157,4388371,LKA
4404444,4393712,BLR
4412003,4251830,TUR
4408882,4314862,BLR
4411939,2880980,MEX
4411930,4384221,BGD
4411870,3812535,RUS
4411875,4371862,BRA
4411865,3812535,RUS
4411858,4113533,RUS
4411861,4256435,UZB
4411859,4367402,IND
4411726,4252787,IND
4411830,4410565,LKA
4411829,3812535,RUS
4411834,3812535,RUS
4411819,3812535,RUS
4411822,4388371,LKA
4395543,4356830,POL
4411505,4321222,TUR
4411816,3812535,RUS
4411799,4359112,RUS
4411674,1007955,GBR
4411789,4374339,EGY
4411686,3812535,RUS
4411033,4388371,LKA
4411669,3812535,RUS
4410477,4393003,LKA
4411681,2531169,TUR
4411639,3812535,RUS
4411646,4367630,UKR
4411595,3812535,RUS
4411574,3812535,RUS
4411521,3812535,RUS
4411367,2218062,USA
4411482,3812535,RUS
4411509,2566461,AUS
4411479,3812535,RUS
4411490,3812535,RUS
4411432,4244716,IND
4411384,4411317,LKA
4411318,4359115,BGD
4396554,4395886,NGA
4411186,2693618,USA
4411256,4388371,LKA
4396730,4395886,NGA
4411055,4393805,LKA
4410728,4409868,USA
4410678,4359917,BGD
4410608,4388371,LKA
4410582,1801264,LKA
4410566,4407716,USA
4410565,4410255,LKA
4410193,4211199,USA
4410316,4388371,LKA
4410255,4410203,LKA
4410203,4388371,LKA
4410111,1609981,BGD
4410079,1266499,BGD
4409741,4065742,TUR
4410029,4376585,THA
4409981,4376585,THA
4409747,4065742,TUR
4410015,4376585,THA
4409997,4376585,THA
4409751,4065742,TUR
4409974,4376585,THA
4409951,4376585,THA
4409945,4405222,SLV
4409957,4376585,THA
4409948,4373618,IDN
4409943,4376585,THA
4409897,4376585,THA
4409916,4376585,THA
4409908,3812535,RUS
4409892,4378289,PHL
4409887,4376585,THA
4409840,3812535,RUS
4409879,4376585,THA
4409865,4374214,IDN
4409863,4376585,THA
4409841,4376585,THA
4407292,4362436,BGD
4409831,4376585,THA
4409826,3812535,RUS
4409821,4376585,THA
4409802,4376585,THA
4409794,4376585,THA
4409763,3812535,RUS
4409779,4409753,LTU
4409781,1801264,KEN
4409766,4328170,TUR
4400751,3478683,NPL
4409745,1801264,KEN
4409742,3812535,RUS
4409690,3812535,RUS
4398553,4366124,IND
4409700,3812535,RUS
4409701,3812535,RUS
4409695,3092415,BGD
